
Perfil A

Encinasola  (EN)  29 S 680268 4220005 386  Shot time UTC +/- 2003:260:14:02:01.650  Sept 17:16:02
El Mustio   (MU)  29 S 670215 4188832 502  Shot time UTC +/- 2003:260:16:06:01.140  Sept 17:18:06
Villablanca (VI)  29 S 647330 4125195  39  Shot time UTC +/- 2003:260:18:07:01.350  Sept 17:20:07

Perfil B

MonteRubio  (MR0) 30 S 284312 4272036 670  Shot time UTC +/- 2003:266:18:05.00.355  Sept 23:18:05
Maguilla    (MA0) 30 S 247667 4247866 533  Shot time UTC +/- 2003:266:20:02.01.350  Sept 23:22:02
Rio Tinto   (RT0) 29 S 713258 4175619 368  Shot time UTC +/- 2003:267:16:01:01.840  Sept 24:18:01
Minas Cala  (CA0) 29 S 733391 4203249 588  Shot time UTC +/- 2003:267:18:01:01.100  Sept 24:20:01
Niebla      (NI0) 29 S 702326 4148285 166  Shot time UTC +/- 2003:267:13:31:01.855  Sept 24:15:31

Perfil C

Garlitos    (GA1) 30 S 322856 4303817 556  Shot time UTC +/- 2003:269:18:38:01.265  Sept 26:20:38
Garlitos    (GA2) 30 S 322938 4303893 547  Shot time UTC +/- 2003:269:19:31:00.615  Sept 26:21:31
Monterubio  (MR1) 30 S 284294 4272117 668  Shot time UTC +/- 2003:269:21:03:00:915  Sept 26:23:03
Maguilla    (MA1) 30 S 247623 4247979 529  Shot time UTC +/- 2003:269:22:32:00:495  Sept 26:24:32
Minas Cala  (CA1) 29 S 733343 4203262 580  Shot time UTC +/- 2003:270:13:33:00.430  Sept 27:15:33
Rio Tinto   (RT1) 29 S 713334 4175665 366  Shot time UTC +/- 2003:270:16:01:00.890  Sept 27:18:01
Niebla      (NI1) 29 S 702258 4148289 156  Shot time UTC +/- 2003:270:17:31:00.515  Sept 27:19:31

1203  4203790  678860  299
1204  4204092  678691  286
1205  4204533  678548  291
1206  4204964  678335  290
1207  4205617  678512  280
1209  4206488  678298  280
1210  4206868  678196  304
1211  4207199  678378  354
1212  4207577  678568  363
1213  4207933  678505  402
1214  4208118  679038  453
1215  4208331  679526  489
1216  4208413  679909  537
1217  4208556  680142  526
1218  4208603  680655  546
1219  4208866  680837  561
1220  4208834  681464  590
1221  4209107  681791  584
1222  4209263  682107  549
1223  4209200  682611  603
1224  4209529  682956  582
1226  4210077  683038  578
1227  4210204  682821  545
1228  4210313  682671  520
1229  4210583  682532  532
1230  4210949  682593  498
1231  4211213  682767  499
1232  4211650  682800  528
1233  4211967  682190  557
1234  4212462  682096  510
1235  4212959  682032  495
1236  4213635  681955  498
1237  4214024  681981  486
1238  4214401  681843  484
1239  4214776  681695  466
1240  4215142  681552  463
1241  4215539  681399  447
1243  4216250  681050  445
1244  4216541  680780  447
1245  4216826  680518  452
1246  4216986  680140  455
1247  4217442  680006  448
1248  4217817  679891  450
1249  4218196  679769  432
1250  4218580  679649  409
1251  4218947  679511  410
1252  4219196  679272  420
1253  4219712  679311  442
1254  4220045  679529  439
1255  4220210  679892  430
1256  4220471  680191  407
1257  4220837  680350  409
1259  4222669  683315  315
1260  4222639  683753  346
1261  4222726  684092  343
1262  4223034  684358  352
1263  4223258  684682  347
1264  4223317  685109  361
1265  4223360  685460  380
1266  4223538  685838  415
1267  4224316  686965  411
1268  4224694  687077  416
1269  4225061  687241  406
1270  4225393  687449  425
1271  4225649  687753  436
1272  4225973  687985  454
1273  4226293  688223  451
1275  4227102  688703  494
1276  4227279  688957  495
1277  4227576  689324  513
1278  4227922  689521  526
1279  4228274  689699  499
1280  4228658  689810  501
1281  4228988  690019  455
1282  4229381  690127  398
